type,client,tx,amount
deposit,1,0,10.0
deposit,1,2,10.0
deposit,2,3,30.0
deposit,1,4,10.0
withdrawal,2,5,10.0
deposit,1,6,10.0
deposit,1,8,10.0
deposit,2,9,30.0
deposit,1,10,10.0
deposit,1,12,10.0
deposit,1,14,10.0
deposit,2,15,30.0
deposit,1,16,10.0
deposit,1,18,10.0
deposit,1,20,10.0
deposit,2,21,30.0
deposit,1,22,10.0
deposit,1,24,10.0
withdrawal,2,25,10.0
deposit,1,26,10.0
deposit,2,27,30.0
deposit,1,28,10.0
deposit,1,30,10.0
deposit,1,32,10.0
deposit,2,33,30.0
deposit,1,34,10.0
withdrawal,2,35,10.0
deposit,1,36,10.0
deposit,1,38,10.0
deposit,2,39,30.0
deposit,1,40,10.0
deposit,1,42,10.0
deposit,1,44,10.0
deposit,2,45,30.0
deposit,1,46,10.0
deposit,1,48,10.0
deposit,1,50,10.0
deposit,2,51,30.0
deposit,1,52,10.0
deposit,1,54,10.0
withdrawal,2,55,10.0
deposit,1,56,10.0
deposit,2,57,30.0
deposit,1,58,10.0
deposit,1,60,10.0
deposit,1,62,10.0
deposit,2,63,30.0
deposit,1,64,10.0
withdrawal,2,65,10.0
deposit,1,66,10.0
deposit,1,68,10.0
deposit,2,69,30.0
deposit,1,70,10.0
deposit,1,72,10.0
deposit,1,74,10.0
deposit,2,75,30.0
deposit,1,76,10.0
deposit,1,78,10.0
deposit,1,80,10.0
deposit,2,81,30.0
deposit,1,82,10.0
deposit,1,84,10.0
withdrawal,2,85,10.0
deposit,1,86,10.0
deposit,2,87,30.0
deposit,1,88,10.0
deposit,1,90,10.0
deposit,1,92,10.0
deposit,2,93,30.0
deposit,1,94,10.0
withdrawal,2,95,10.0
deposit,1,96,10.0
deposit,1,98,10.0
deposit,2,99,30.0
deposit,1,100,10.0
deposit,1,102,10.0
deposit,1,104,10.0
deposit,2,105,30.0
deposit,1,106,10.0
deposit,1,108,10.0
deposit,1,110,10.0
deposit,2,111,30.0
deposit,1,112,10.0
deposit,1,114,10.0
withdrawal,2,115,10.0
deposit,1,116,10.0
deposit,2,117,30.0
deposit,1,118,10.0
deposit,1,120,10.0
deposit,1,122,10.0
deposit,2,123,30.0
deposit,1,124,10.0
withdrawal,2,125,10.0
deposit,1,126,10.0
deposit,1,128,10.0
deposit,2,129,30.0
deposit,1,130,10.0
deposit,1,132,10.0
deposit,1,134,10.0
deposit,2,135,30.0
deposit,1,136,10.0
deposit,1,138,10.0
deposit,1,140,10.0
deposit,2,141,30.0
deposit,1,142,10.0
deposit,1,144,10.0
withdrawal,2,145,10.0
deposit,1,146,10.0
deposit,2,147,30.0
deposit,1,148,10.0
deposit,1,150,10.0
deposit,1,152,10.0
deposit,2,153,30.0
deposit,1,154,10.0
withdrawal,2,155,10.0
deposit,1,156,10.0
deposit,1,158,10.0
deposit,2,159,30.0
deposit,1,160,10.0
deposit,1,162,10.0
deposit,1,164,10.0
deposit,2,165,30.0
deposit,1,166,10.0
deposit,1,168,10.0
deposit,1,170,10.0
deposit,2,171,30.0
deposit,1,172,10.0
deposit,1,174,10.0
withdrawal,2,175,10.0
deposit,1,176,10.0
deposit,2,177,30.0
deposit,1,178,10.0
deposit,1,180,10.0
deposit,1,182,10.0
deposit,2,183,30.0
deposit,1,184,10.0
withdrawal,2,185,10.0
deposit,1,186,10.0
deposit,1,188,10.0
deposit,2,189,30.0
deposit,1,190,10.0
deposit,1,192,10.0
